:START_ID,:END_ID,:TYPE
192,1,APPEARED_IN
193,1,APPEARED_IN
188,2,APPEARED_IN
190,2,APPEARED_IN
191,2,APPEARED_IN
192,2,APPEARED_IN
194,2,APPEARED_IN
195,2,APPEARED_IN
196,2,APPEARED_IN
197,2,APPEARED_IN
198,3,APPEARED_IN
199,3,APPEARED_IN
200,3,APPEARED_IN
201,3,APPEARED_IN
202,3,APPEARED_IN
203,3,APPEARED_IN
204,3,APPEARED_IN
185,4,APPEARED_IN
205,4,APPEARED_IN
206,4,APPEARED_IN
207,4,APPEARED_IN
208,4,APPEARED_IN
209,4,APPEARED_IN
210,4,APPEARED_IN
211,4,APPEARED_IN
212,4,APPEARED_IN
213,4,APPEARED_IN
214,4,APPEARED_IN
198,5,APPEARED_IN
208,5,APPEARED_IN
210,5,APPEARED_IN
213,5,APPEARED_IN
215,5,APPEARED_IN
216,5,APPEARED_IN
217,5,APPEARED_IN
218,5,APPEARED_IN
219,5,APPEARED_IN
220,5,APPEARED_IN
221,5,APPEARED_IN
222,5,APPEARED_IN
223,5,APPEARED_IN
